show_id,Type,Title,Director,Country,Date_added,Date_Added,Release_Year,Rating,Duration,Listed_In,IMDB_Rating,IMBD_Votes
s3236,TV Show,Our Planet,Alastair Fothergill,United Kingdom,11/13/2015,11/13/2015,2019,TV-PG,1 Season,"Docuseries, Science & Nature TV",9.3,41386
s625,Movie,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",United Kingdom,11/19/2020,1/09/2018,2020,PG,84 min,Documentaries,9,31180
s1038,Movie,No Longer kids,Samir Al Asfory,Egypt,07-03-2020,8/09/2021,1979,TV-14,237 min,"Comedies, Dramas, International Movies",9,943
s2701,Movie,Death Note,Adam Wingard,United States,1/25/2018,11/25/2016,2017,TV-MA,100 min,"Horror Movies, Thrillers",9,302147
s146,Movie,Inception,Christopher Nolan,United States,8/13/2021,5/14/2021,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",8.8,2268288
s767,Movie,Sky Tour: The Movie,Nguyen Thanh Tung,Vietnam,10/14/2020,8/09/2021,2020,TV-G,93 min,"Documentaries, International Movies, Music & Musicals",8.8,1036
s3233,TV Show,Chappelle's Show,Stan Lathan,United States,10/16/2015,10/16/2015,2005,TV-MA,2 Seasons,TV Comedies,8.8,62140
s3790,Movie,Bo Burnham: Inside,Bo Burnham,United States,6/23/2021,12/02/2021,2021,TV-MA,88 min,Stand-Up Comedy,8.7,44074
s519,TV Show,A Lion in the House,"Steven Bognar, Julia Reichert",United States,12/18/2020,6/16/2021,2006,TV-14,1 Season,TV Shows,8.7,312
s1036,Movie,Bye Bye London,Almunsif Alsuwaisi,Kuwait,07-05-2020,12/10/2020,1981,TV-14,177 min,"Comedies, Dramas, International Movies",8.7,154
s2309,TV Show,Mr. Sunshine,Lee Eung-bok,South Korea,10-12-2018,7/10/2016,2018,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",8.7,6855
s2862,TV Show,Dave Chappelle,Stan Lathan,United States,09-01-2017,1/09/2020,2017,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",8.7,2753
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,9/24/2021,9/24/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",8.6,9564
